date,article_count,avg_sentiment,sentiment_std,sentiment_min,sentiment_max,avg_engagement,engagement_std,unique_sources,unique_categories,pct_political,pct_economic,pct_infrastructure,pct_tourism,sentiment_velocity,sentiment_acceleration
2022-12-09,50,0.046383210233814365,0.23308002523648136,-0.4562619562494001,0.7190520836612184,697.08,560.3858670594753,7,11,0.08,0.06,0.16,0.0,0.0,0.0
2022-12-10,50,-0.018784934060753468,0.26474539274331854,-0.685026407185156,0.7866593249196016,558.34,448.58492290894543,7,12,0.06,0.12,0.12,0.08,-0.06516814429456783,0.0
2022-12-11,50,0.05912052297338507,0.3008909893957698,-0.7564890672024387,0.5592377020362137,619.32,435.3100907422671,7,12,0.18,0.14,0.08,0.12,0.07790545703413854,0.14307360132870636
2022-12-12,50,-0.06459363542858576,0.28642452942355145,-0.762530765514086,0.627396563784778,546.92,450.5845110882675,7,11,0.1,0.1,0.14,0.12,-0.12371415840197084,-0.20161961543610937
2022-12-13,50,0.006150970355035973,0.22204069688479874,-0.41832970383776824,0.6263854368699037,612.1,475.90837953779055,7,12,0.04,0.1,0.16,0.08,0.07074460578362174,0.19445876418559258
2022-12-14,50,-0.016825379161849077,0.25155966191756285,-0.5330809606415648,0.6256944923621105,654.02,447.19769129775347,7,12,0.16,0.08,0.06,0.1,-0.02297634951688505,-0.09372095530050678
2022-12-15,50,0.004538635508651498,0.2373645599935572,-0.4077481287759529,0.5432000859894879,575.64,400.72249851527744,7,12,0.02,0.04,0.08,0.12,0.021364014670500576,0.04434036418738563
2022-12-16,50,-0.06963880315555673,0.25176598199690114,-0.7735706009154781,0.42152885575048304,677.58,524.3937253473515,7,12,0.12,0.24,0.06,0.08,-0.07417743866420823,-0.0955414533347088
2022-12-17,50,0.038252218416810306,0.2175242770762153,-0.5505625011649866,0.40807205985069994,489.26,302.1745549060229,7,11,0.1,0.12,0.1,0.12,0.10789102157236705,0.18206846023657527
2022-12-18,50,-0.07330870374441618,0.2486676315470785,-0.5736324860983509,0.39776685602130707,591.48,526.0476520667096,7,11,0.1,0.1,0.18,0.0,-0.11156092216122648,-0.21945194373359353
2022-12-19,50,-0.040837398495144776,0.25095950824652685,-0.5592602498967786,0.4023511092154325,627.32,522.2602541465552,7,12,0.06,0.06,0.04,0.12,0.03247130524927141,0.1440322274104979
2022-12-20,50,0.06596990781744128,0.26448904702309867,-0.4505759187103868,0.6485208930817774,575.54,431.0475237779496,7,12,0.06,0.08,0.1,0.16,0.10680730631258606,0.07433600106331464
2022-12-21,50,0.019488599367359128,0.25865791584430886,-0.6544578456384096,0.48972644125780324,677.94,557.9854950203107,7,12,0.08,0.06,0.08,0.06,-0.04648130845008215,-0.1532886147626682
2022-12-22,50,-0.04948095662398638,0.24431246180495267,-0.641014210266023,0.6258166759200412,555.3,420.6209816498478,7,12,0.02,0.14,0.18,0.08,-0.06896955599134551,-0.022488247541263356
2022-12-23,50,-0.02396395607060665,0.30883345896113734,-0.7641739325370939,0.6401938732834769,592.16,425.33134070716574,7,11,0.08,0.12,0.08,0.14,0.025517000553379732,0.09448655654472524
2022-12-24,50,0.02845111576713403,0.25196213643728754,-0.6025425340860533,0.4939710241095473,596.42,380.9892113743819,7,12,0.16,0.08,0.08,0.14,0.052415071837740676,0.026898071284360944
