id,title,content,source,url,published_date,language,category,scraped_at
1b7703c918f6cedfb0101a6898e1f49c,,,Ada Derana,https://www.facebook.com/adaderana,2025-12-03 18:54:51.569549,en,general,2025-12-03 18:54:51.569552
1a0621f1bd1da8bf5fb512ab0a47904e,CID probing 57 misleading rumors circulated during state of emergency  Police,"The Police Media Spokesman, ASP F.U. Wootler, declared that stern legal action will be taken against individuals circulating false or misleading information during the state of emergency currently in effect across Sri Lanka. MORE..",Ada Derana,http://www.adaderana.lknews/115551/cid-probing-57-misleading-rumors-circulated-during-state-of-emergency-police,2025-12-03 18:54:51.569589,en,general,2025-12-03 18:54:51.569590
1a0621f1bd1da8bf5fb512ab0a47904e,CID probing 57 misleading rumors circulated during state of emergency  Police,"The Police Media Spokesman, ASP F.U. Wootler, declared that stern legal action will be taken against individuals circulating false or misleading information during the state of emergency currently in effect across Sri Lanka. MORE..",Ada Derana,http://www.adaderana.lknews/115551/cid-probing-57-misleading-rumors-circulated-during-state-of-emergency-police,2025-12-03 18:54:51.569606,en,general,2025-12-03 18:54:51.569607
8652c0451dd2019677c30f62a100d06b,Hot News,Hot News,Ada Derana,http://www.adaderana.lk/hot-news/,2025-12-03 18:54:51.569625,en,general,2025-12-03 18:54:51.569625
740403dcd6091d2208a3bba3192b0bb1,Gunman in Modara Devalaya committee chairmans murder arrested,Gunman in Modara Devalaya committee chairmans murder arrested,Ada Derana,http://www.adaderana.lknews/115556/gunman-in-modara-devalaya-committee-chairmans-murder-arrested,2025-12-03 18:54:51.569635,en,general,2025-12-03 18:54:51.569635
60b84ba635b2932b560d3f595071daad,Malaysia says search for missing flight MH370 to resume after 11 years,Malaysia says search for missing flight MH370 to resume after 11 years,Ada Derana,http://www.adaderana.lknews/115555/malaysia-says-search-for-missing-flight-mh370-to-resume-after-11-years,2025-12-03 18:54:51.569643,en,general,2025-12-03 18:54:51.569644
b762731ce66d0388b3accb92c01aee90,"Minister of Sports gifts Milo campaign winners with bicycles to encourage a fitter, active lifestyle","Minister of Sports gifts Milo campaign winners with bicycles to encourage a fitter, active lifestyle",Ada Derana,https://www.facebook.com/MiloSriLanka/videos/455341802341824,2025-12-03 18:54:51.569651,en,general,2025-12-03 18:54:51.569652
9040ff32000551eb1695569658374b27,Dhamma School exams for Grades 6-10 postponed,Dhamma School exams for Grades 6-10 postponed,Ada Derana,http://www.adaderana.lknews/115554/dhamma-school-exams-for-grades-6-10-postponed-,2025-12-03 18:54:51.569659,en,general,2025-12-03 18:54:51.569659
9864ccc689aba56307b6005b2a888d06,Additional Mahapola allowance for uni students affected by severe weather,Additional Mahapola allowance for uni students affected by severe weather,Ada Derana,http://www.adaderana.lknews/115552/additional-mahapola-allowance-for-uni-students-affected-by-severe-weather,2025-12-03 18:54:51.569666,en,general,2025-12-03 18:54:51.569666
77470a9004c2a1253e3343b7d93d13b6,Two more UAE relief aircraft arrive in Sri Lanka,Two more UAE relief aircraft arrive in Sri Lanka,Ada Derana,http://www.adaderana.lknews/115550/two-more-uae-relief-aircraft-arrive-in-sri-lanka,2025-12-03 18:54:51.569673,en,general,2025-12-03 18:54:51.569674
